RCArea,DBSiteCode,Run,FishDate,SegmentID,Waterway,Location,LatWGS84Fished,LongWGS84Fished,PredNoIndigSpp,NoIndigSpp,PropIndigSpp,PropNonIndigSpp,AmbSp1,AmnPer,AngMar,AngObs,AngRei,AwaAcr,BunGyr,CraSte,EleFus,EleMel,GerFil,GiuApo,GloApr,GloIll,GloLat,HypBuc,HypCom,KuhRup,LatCal,LeiUni,LutArg,MegCyp,MelSpl,MogAds,MugCep,NemEre,NeoAte,NeoHyr,OphSp1,PlaSub,PorRen,RedBik,SchHoe,StrKre,ToxCha,OxyLin,AmpSpp,GamHol,OreMos,PoeRet,TriTri,XipMac
Black,117-0001,1,20-Aug-19,9460,Pine Creek,"Forestry Road, Paluma Range National Park, Lynam",-19.2403,146.4477,8.57,5,0.584,0,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,144,35,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0001,2,12-Sep-22,9460,Pine Creek,"Forestry Road, Paluma Range National Park, Lynam",-19.2403,146.4477,8.57,3,0.35,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,63,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Black,117-0001,3,3-Sep-25,9460,Pine Creek,"Forestry Road, Paluma Range National Park, Lynam",-19.2403,146.4477,8.57,4,0.467,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,155,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0003,3,4-Sep-25,19132,Scrubby Creek,"Hervey Range Road, Hervey Range",-19.3154,146.5874,10.84,5,0.461,0.007,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42,-,-,13,-,-,81,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Black,117-0006,1,19-Aug-19,9295,Black River,"Bruce Highway, Black River",-19.2272,146.6296,14.63,6,0.41,0.154,-,-,-,-,35,5,-,-,-,-,-,-,-,15,-,-,10,-,-,153,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,12,-,-,-
Black,117-0006,2,12-Sep-22,9295,Black River,"Bruce Highway, Black River",-19.2272,146.6296,14.63,6,0.41,0.343,-,-,-,-,32,-,-,-,-,-,-,-,-,10,-,-,38,-,-,19,-,-,2,-,12,-,-,-,-,-,-,-,-,-,-,-,-,45,14,-,-,-
Black,117-0006,3,2-Sep-25,9295,Black River,"Bruce Highway, Black River",-19.2278,146.6293,14.63,5,0.342,0.191,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,159,-,-,6,-,-,28,1,-,-,-,-,-,-,-,-,-,-,-,-,-,33,18,-,-,-
Black,117-0009,1,20-Aug-19,9030,Rollingstone Creek,"Bruce Highway, Rollingstone",-19.0494,146.396,11.82,10,0.846,0.041,1,-,-,-,20,-,-,6,-,-,-,-,-,3,-,-,60,2,-,1,-,-,252,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,15,-,-,-
Black,117-0009,2,14-Sep-22,9030,Rollingstone Creek,"Bruce Highway, Rollingstone",-19.0494,146.396,11.82,10,0.846,0.017,1,-,-,-,29,-,-,2,1,-,-,-,-,5,-,-,22,-,-,-,-,-,81,30,-,-,1,-,3,-,-,-,-,-,-,-,-,-,3,-,-,-
Black,117-0009,3,3-Sep-25,9030,Rollingstone Creek,"Bruce Highway, Rollingstone",-19.0495,146.396,11.82,10,0.846,0.037,-,-,3,-,14,-,-,3,-,-,-,-,-,9,-,-,48,14,-,5,-,-,97,12,-,-,-,1,-,-,-,-,-,-,-,-,-,-,8,-,-,-
