Species,DbSiteCode,Run,Date,Watercourse,Site,SegmentId,PredictedNumberOfIndigenousSpecies,NumberOfIndigenousSpecies,Poise,PropTrans,PropAlien,PropNonIndigenous,AmbSp1,Observations,Type,GenusSpecies,VernacularName,Fyear,Region,Environment,BasinOrZone,SubBasinOrSubZone,WatercourseOrGeographicArea,geometry
AngRei,117-0094,3,2025-09-02T00:00:00Z,Tributary of Palm Tree Creek,"Page Road, Hervey Range",12392,8.064235,4,0.49601729116276994,0,0.5220125786163522,0.5220125786163522,NA,7,Indigenous,Anguilla reinhardtii,Long-finned eel,2026,Dry Tropics,Freshwater,Black,Black River,NA,"c(445925.124247955, 7860599.1743561)"
AngRei,117-0019,1,2019-08-21T00:00:00Z,Canal Creek,"Black River Road, Black River",15154,11.654436,7,0.6006296658199505,0,0.19054441260744986,0.19054441260744986,3,2,Indigenous,Anguilla reinhardtii,Long-finned eel,2020,Dry Tropics,Freshwater,Black,Black River,NA,"c(458077.769371085, 7866947.51544158)"
AngRei,117-0019,2,2022-09-12T00:00:00Z,Canal Creek,"Black River Road, Black River",15154,11.654436,5,0.42902118987139315,0,0.4126984126984127,0.4126984126984127,9,3,Indigenous,Anguilla reinhardtii,Long-finned eel,2023,Dry Tropics,Freshwater,Black,Black River,NA,"c(458077.769371085, 7866947.51544158)"
AngRei,117-0067,1,2019-08-22T00:00:00Z,Alice River,"Hervey Range Road, Rangewood",14985,12.395169,5,0.4033829631528219,0,0.36380597014925375,0.36380597014925375,NA,19,Indigenous,Anguilla reinhardtii,Long-finned eel,2020,Dry Tropics,Freshwater,Black,Black River,NA,"c(457575.574985166, 7864192.08147141)"
AngRei,117-0131,3,2025-09-04T00:00:00Z,Log Creek,"Adrenaline Paintball, Black River",13715,12.636838,5,0.395668600008958,0,0.24175824175824176,0.24175824175824176,NA,3,Indigenous,Anguilla reinhardtii,Long-finned eel,2026,Dry Tropics,Freshwater,Black,Black River,NA,"c(457935.70785026, 7867456.78281571)"
AngRei,117-0006,2,2022-09-12T00:00:00Z,Black River,"Bruce Highway, Black River",9295,14.629471,6,0.4101310293448068,0,0.3430232558139535,0.3430232558139535,NA,32,Indigenous,Anguilla reinhardtii,Long-finned eel,2023,Dry Tropics,Freshwater,Black,Black River,NA,"c(461071.612449379, 7873988.51605413)"
AngRei,117-0006,1,2019-08-19T00:00:00Z,Black River,"Bruce Highway, Black River",9295,14.629471,6,0.4101310293448068,0,0.15384615384615385,0.15384615384615385,NA,35,Indigenous,Anguilla reinhardtii,Long-finned eel,2020,Dry Tropics,Freshwater,Black,Black River,NA,"c(461071.612449379, 7873988.51605413)"
AngRei,117-0006,3,2025-09-02T00:00:00Z,Black River,"Bruce Highway, Black River",9295,14.629471,5,0.341775857787339,0,0.19101123595505617,0.19101123595505617,NA,22,Indigenous,Anguilla reinhardtii,Long-finned eel,2026,Dry Tropics,Freshwater,Black,Black River,NA,"c(461037.260819337, 7873925.27118048)"
AngRei,117-0110,1,2019-08-23T00:00:00Z,Alice River,"Granitevale Road, Alice River",12480,9.611059,7,0.728327648389215,0,0.09473684210526316,0.09473684210526316,1,17,Indigenous,Anguilla reinhardtii,Long-finned eel,2020,Dry Tropics,Freshwater,Black,Black River,NA,"c(456644.872327507, 7856949.59538755)"
AngRei,117-0131,2,2022-09-16T00:00:00Z,Log Creek,"Adrenaline Paintball, Black River",13715,12.636838,5,0.395668600008958,0,0.44495412844036697,0.44495412844036697,NA,4,Indigenous,Anguilla reinhardtii,Long-finned eel,2023,Dry Tropics,Freshwater,Black,Black River,NA,"c(457843.244624107, 7867366.16489571)"
AngRei,117-0003,3,2025-09-04T00:00:00Z,Scrubby Creek,"Hervey Range Road, Hervey Range",19132,10.839291,5,0.46128478329440553,0,0.0070921985815602835,0.0070921985815602835,NA,1,Indigenous,Anguilla reinhardtii,Long-finned eel,2026,Dry Tropics,Freshwater,Black,Black River,NA,"c(456659.323147428, 7864225.01071026)"
AwaAcr,117-0067,1,2019-08-22T00:00:00Z,Alice River,"Hervey Range Road, Rangewood",14985,12.395169,5,0.4033829631528219,0,0.36380597014925375,0.36380597014925375,NA,2,Indigenous,Awaous acritosus,Roman-nose goby,2020,Dry Tropics,Freshwater,Black,Black River,NA,"c(457575.574985166, 7864192.08147141)"
AwaAcr,117-0006,1,2019-08-19T00:00:00Z,Black River,"Bruce Highway, Black River",9295,14.629471,6,0.4101310293448068,0,0.15384615384615385,0.15384615384615385,NA,5,Indigenous,Awaous acritosus,Roman-nose goby,2020,Dry Tropics,Freshwater,Black,Black River,NA,"c(461071.612449379, 7873988.51605413)"
